country,designation,points,price,province,region_1,region_2,variety,winery
US,Martha's Vineyard,96.0,235.0,California,Napa Valley,Napa,Cabernet Sauvignon,Heitz
Spain,Carodorum Selección Especial Reserva,96.0,110.0,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodríguez
US,Special Selected Late Harvest,96.0,90.0,California,Knights Valley,Sonoma,Sauvignon Blanc,Macauley
US,Reserve,96.0,65.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Ponzi
France,La Brûlade,95.0,66.0,Provence,Bandol,,Provence red blend,Domaine de la Bégude
Spain,Numanthia,95.0,73.0,Northern Spain,Toro,,Tinta de Toro,Numanthia
Spain,San Román,95.0,65.0,Northern Spain,Toro,,Tinta de Toro,Maurodos
Spain,Carodorum Único Crianza,95.0,110.0,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodríguez
US,Silice,95.0,65.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Bergström
US,Gap's Crown Vineyard,95.0,60.0,California,Sonoma Coast,Sonoma,Pinot Noir,Blue Farm
Italy,Ronco della Chiesa,95.0,80.0,Northeastern Italy,Collio,,Friulano,Borgo del Tiglio
US,Estate Vineyard Wadensvil Block,95.0,48.0,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Patricia Green Cellars
US,Weber Vineyard,95.0,48.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Patricia Green Cellars
France,Château Montus Prestige,95.0,90.0,Southwest France,Madiran,,Tannat,Vignobles Brumont
US,Grace Vineyard,95.0,185.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Domaine Serene
US,Sigrid,95.0,90.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Bergström
US,Rainin Vineyard,95.0,325.0,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Hall
Spain,6 Años Reserva Premium,95.0,80.0,Northern Spain,Ribera del Duero,,Tempranillo,Valduero
France,Le Pigeonnier,95.0,290.0,Southwest France,Cahors,,Malbec,Château Lagrézette
US,Gap's Crown Vineyard,95.0,75.0,California,Sonoma Coast,Sonoma,Pinot Noir,Gary Farrell
US,Grignolino,95.0,24.0,California,Napa Valley,Napa,Rosé,Heitz
Spain,Prado Enea Gran Reserva,95.0,79.0,Northern Spain,Rioja,,Tempranillo Blend,Muga
Spain,Termanthia,95.0,220.0,Northern Spain,Toro,,Tinta de Toro,Numanthia
US,Giallo Solare,95.0,60.0,California,Edna Valley,Central Coast,Chardonnay,Center of Effort
US,R-Bar-R Ranch,95.0,45.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Comartin
New Zealand,Maté's Vineyard,94.0,57.0,Kumeu,,,Chardonnay,Kumeu River
US,Shea Vineyard,94.0,62.0,Oregon,Willamette Valley,,Pinot Noir,Bergström
US,Abetina,94.0,105.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Ponzi
US,Garys' Vineyard,94.0,60.0,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Roar
US,The Funk Estate,94.0,60.0,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Saviah
Bulgaria,Bergulé,90.0,15.0,Bulgaria,,,Mavrud,Villa Melnik
US,Babushka,90.0,37.0,California,Russian River Valley,Sonoma,Chardonnay,Zepaltas
Italy,Vigna Piaggia,90.0,,Tuscany,Brunello di Montalcino,,Sangiovese,Abbadia Ardenga
France,Nonpareil Trésor Rosé Brut,90.0,22.0,France Other,Vin Mousseux,,Sparkling Blend,Bouvet-Ladubay
US,Conner Lee Vineyard,90.0,42.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Buty
Italy,Riserva,90.0,135.0,Tuscany,Brunello di Montalcino,,Sangiovese,Carillon
France,,90.0,60.0,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style White Blend,Clos de L'Oratoire des Papes
Italy,,90.0,29.0,Tuscany,Vino Nobile di Montepulciano,,Sangiovese,Avignonesi
Italy,,90.0,23.0,Tuscany,Chianti Classico,,Sangiovese,Casina di Cornia
Italy,Riserva,90.0,29.0,Tuscany,Chianti Classico,,Red Blend,Castello di Monterinaldi
Spain,Amandi,90.0,17.0,Galicia,Ribeira Sacra,,Mencía,Don Bernardino
Spain,Alfonso Oloroso Seco,90.0,26.0,Andalucia,Jerez,,Palomino,González Byass
US,Private Reserve,90.0,55.0,Idaho,,,Petite Sirah,Huston
Italy,Riserva,90.0,39.0,Tuscany,Chianti Classico,,Red Blend,Rignana
France,Coteaux,90.0,69.0,Rhône Valley,Cornas,,Syrah,Tardieu-Laurent
Italy,Vigneto Odoardo Beccari Riserva,90.0,30.0,Tuscany,Chianti Classico,,Red Blend,Vignavecchia
Italy,Poggio alle Mura,90.0,90.0,Tuscany,Brunello di Montalcino,,Sangiovese,Banfi
US,Estate Grown,90.0,60.0,California,Mount Veeder,Napa,Cabernet Sauvignon,Brandlin
Italy,,90.0,50.0,Tuscany,Brunello di Montalcino,,Sangiovese,Brunelli Martoccia
US,,90.0,40.0,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Canvasback
Italy,Riserva,90.0,100.0,Tuscany,Brunello di Montalcino,,Sangiovese,Capanne Ricci
France,,90.0,68.0,Burgundy,Chassagne-Montrachet,,Chardonnay,Chartron et Trébuchet
France,Les 7 Hommes,90.0,42.0,Loire Valley,Sancerre,,Sauvignon Blanc,Cherrier Frères
France,L'Inédit,90.0,28.0,Loire Valley,Coteaux du Giennois,,Pinot Noir,Clement et Florian Berthier
US,,90.0,18.0,California,Russian River Valley,Sonoma,Chardonnay,De Loach
US,Four Flags,90.0,69.0,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,DeLille
France,Le Pavé,90.0,,Loire Valley,Sancerre,,Sauvignon Blanc,Domaine Vacheron
US,Reserve,90.0,25.0,New York,Finger Lakes,Finger Lakes,Riesling,Dr. Konstantin Frank
US,Final Final,90.0,30.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon-Syrah,Efeste
Italy,Poggio Bestiale,90.0,60.0,Tuscany,Maremma Toscana,,Red Blend,Fattoria di Magliano
Argentina,The Apple Doesn't Fall Far From The Tree,91.0,30.0,Mendoza Province,Mendoza,,Malbec,Matias Riccitelli
Australia,,91.0,36.0,Victoria,Mornington Peninsula,,Pinot Noir,Moorooduc
Argentina,Alegoría Gran Reserva,91.0,25.0,Mendoza Province,Mendoza,,Malbec,Navarro Correas
France,L'Homme Mort Premier Cru,91.0,45.0,Burgundy,Chablis,,Chardonnay,Domaine Chenevières
Portugal,,91.0,23.0,Alentejano,,,Portuguese Red,Herdade do Rocim
US,Estate Select,91.0,36.0,California,Santa Clara Valley,Central Coast,Syrah,Jason-Stephens
France,Fourchaume Premier Cru,91.0,38.0,Burgundy,Chablis,,Chardonnay,Louis Max
US,Animo,91.0,85.0,California,Napa Valley,Napa,Cabernet Sauvignon,Michael Mondavi Family Estate
US,Schindler Vineyard,91.0,50.0,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Panther Creek
